,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
124,Tanzania,TZA,Time required to start a business (days),IC.REG.DURS,34.0,34.0,31.0,30.0,29.0,29.0,29.0,29.0,26.0,26.0,26.0
125,Thailand,THA,Time required to start a business (days),IC.REG.DURS,33.0,33.0,33.0,33.0,33.0,32.0,32.0,29.0,29.0,27.5,27.5
126,Togo,TGO,Time required to start a business (days),IC.REG.DURS,63.0,63.0,62.0,60.0,60.0,84.0,84.0,84.0,38.0,19.0,10.0
127,Trinidad and Tobago,TTO,Time required to start a business (days),IC.REG.DURS,47.77269403,74.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,35.5,11.5
128,Tunisia,TUN,Time required to start a business (days),IC.REG.DURS,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
129,Turkey,TUR,Time required to start a business (days),IC.REG.DURS,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5
130,Uganda,UGA,Time required to start a business (days),IC.REG.DURS,34.0,34.0,28.0,28.0,25.0,25.0,24.0,33.0,33.0,32.0,32.0
131,Ukraine,UKR,Time required to start a business (days),IC.REG.DURS,34.0,34.0,33.0,27.0,27.0,27.0,27.0,24.0,22.0,21.0,21.0
132,United Arab Emirates,ARE,Time required to start a business (days),IC.REG.DURS,19.0,19.0,19.0,18.0,18.0,15.0,15.0,13.0,8.0,8.0,8.0
133,United States,USA,Time required to start a business (days),IC.REG.DURS,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.2,5.6
134,Upper middle income,UMC,Time required to start a business (days),IC.REG.DURS,49.425,58.80851064,53.58333333,49.84375,44.82291667,40.6875,39.57291667,38.51041667,38.45918367,26.75102041,24.16938776
135,Uruguay,URY,Time required to start a business (days),IC.REG.DURS,45.0,45.0,43.0,43.0,43.0,64.0,64.0,6.5,6.5,6.5,6.5
136,Uzbekistan,UZB,Time required to start a business (days),IC.REG.DURS,28.0,28.0,28.0,14.0,14.0,14.0,14.0,13.0,11.0,7.5,7.5
137,"Venezuela, RB",VEN,Time required to start a business (days),IC.REG.DURS,143.0,143.0,143.0,142.0,141.0,141.0,141.0,141.0,144.0,144.0,144.0
138,World,WLD,Time required to start a business (days),IC.REG.DURS,48.02903226,50.1408046,46.37359551,42.24309392,38.64285714,36.22677596,33.99180328,30.12972973,29.66666667,24.86931217,22.29365079
139,"Yemen, Rep.",YEM,Time required to start a business (days),IC.REG.DURS,63.0,63.0,63.0,63.0,13.0,12.0,12.0,12.0,40.0,40.0,40.0
140,Zambia,ZMB,Time required to start a business (days),IC.REG.DURS,35.0,35.0,35.0,33.0,18.0,18.0,18.0,18.0,17.5,7.5,6.5
141,Zimbabwe,ZWE,Time required to start a business (days),IC.REG.DURS,93.0,93.0,93.0,93.0,93.0,93.0,86.0,86.0,86.0,90.0,90.0
