name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
"Congo, Rep.",COG,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11
Costa Rica,CRI,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53
Cote d'Ivoire,CIV,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298
Croatia,HRV,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57
Cuba,CUB,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437
Cyprus,CYP,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33
Czech Republic,CZE,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164
Denmark,DNK,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99
Djibouti,DJI,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71
Dominica,DMA,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5
Dominican Republic,DOM,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58
Early-demographic dividend,EAR,4.217151396,4.895428367,5.783498059,7.349261153,8.515810292,9.714252577,12.8497122,15.47751308,18.12402905,20.95397182,25.47772338
East Asia & Pacific,EAS,12.59696421,14.66635904,16.61782757,20.76652345,25.25356621,29.51319761,34.23083831,37.36515597,40.70934549,44.57734943,46.81210321
East Asia & Pacific (excluding high income),EAP,6.885265393,8.319143451,10.1739724,14.38269418,19.26013788,23.76924248,28.95757162,32.38576119,36.06834945,39.70893331,42.06223367
East Asia & Pacific (IDA & IBRD),TEA,6.972645946,8.424335729,10.3024293,14.56366115,19.5018491,24.06671164,29.31896116,32.7888246,36.51603576,39.70893331,42.06223367
Ecuador,ECU,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067
"Egypt, Arab Rep.",EGY,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391
El Salvador,SLV,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215
Equatorial Guinea,GNQ,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86
Estonia,EST,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803
Ethiopia,ETH,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7
Euro area,EMU,47.48458595,51.26050914,54.93650079,61.38304967,64.84360952,67.12982995,71.03672239,72.00116351,74.09213619,75.8215601,77.00232229
Europe & Central Asia,ECS,32.35908587,35.22693223,38.0834867,43.6743815,47.35904473,50.56603842,56.11911733,58.83463039,63.48625344,66.30666862,68.94435122
Europe & Central Asia (excluding high income),ECA,10.97617698,12.71155732,15.27049928,20.62189979,24.12924842,27.73955451,35.8844807,40.78720278,48.70394172,52.87030902,56.90141989
Europe & Central Asia (IDA & IBRD),TEC,12.94057625,15.04820763,17.8307096,23.05912683,26.64793977,30.44366631,38.16688634,42.60976996,49.87290343,53.7257328,57.73570264
European Union,EUU,46.83954355,50.9828551,54.55750152,60.30685328,64.20183012,67.22443226,70.64052739,71.51902351,73.70615192,75.54283683,77.11399141
Faeroe Islands,FRO,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.2,80.7321728,85.33518924,90,93.3
Fiji,FJI,7.412943485,8.453636634,9.6000384,10.89783105,13,17,20,28,33.74235675,35.2,37.4
Finland,FIN,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.70999491,89.87999797,91.5144,86.53039275
Fragile and conflict affected situations,FCS,1.053189587,1.478161836,1.891137518,3.06826837,2.989970615,3.879269613,6.224176842,6.890273856,8.506711308,10.32296526,12.40530672
France,FRA,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.81999899,81.44,81.9198,83.75
French Polynesia,PYF,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49,49,52.87663059,56.8,60.68
Gabon,GAB,2.9790698,4.89326475,5.489200803,5.767004576,7.5,9.5,13,18,24,30.53803344,38.07120929
"Gambia, The",GMB,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2,10.8703,12.44922872,14,15.56
Georgia,GEO,3.886221354,6.079457629,7.526876845,8.26,10.01,20.07,26.9,31.52,36.94,43.3,44
Germany,DEU,64.73,68.71,72.16,75.16,78,79,82,81.26999954,82.34999847,84.17,86.19
Ghana,GHA,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,7.8,9,10.6,15,25.51773743
Greece,GRC,21.42,24,32.25,35.88,38.2,42.4,44.4,51.64999517,55.06999344,59.8663,63.21
Greenland,GRL,56.09901476,57.7034045,59.36168727,61.07,62.82,62.83,63,64,64.8960101,65.8,66.7
Grenada,GRD,19.57062058,20.48780488,21.39599117,22.29,23.18,24.05,27,30,32,35,51.6
Guam,GUM,36.16178784,38.55987756,43.851443,46.15047362,48.41870215,50.64202838,54.04,57.7,61.53415931,65.4,69.27
Guatemala,GTM,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4
Guinea,GIN,0.508819332,0.542254181,0.637492123,0.780025279,0.92,0.94,1,2,3.1,4.5,6.4
Guinea-Bissau,GNB,1.808142203,1.901365316,2.057196705,2.206302237,2.354888711,2.303280592,2.45,2.672,2.893990621,3.1,3.32
Haiti,HTI,5.401261908,6.376201635,6.796000481,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4
Heavily indebted poor countries (HIPC),HPC,0.914567047,1.213447385,1.557895614,2.42662065,2.527283286,3.153333335,4.929978865,5.408633106,6.684817621,8.144383999,10.45985432
High income,HIC,55.08836368,58.78201409,61.47318205,66.89039551,68.9804592,70.19016321,72.28041398,72.81945686,75.52501024,76.84275735,78.47228334
Honduras,HND,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,19.08
"Hong Kong SAR, China",HKG,56.39988039,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.86627043
Hungary,HUN,27.74,38.97,47.06,53.3,61,62,65,68.01998789,70.57999815,72.6439,75.65319745
IBRD only,IBD,7.414439744,8.72443087,10.57053088,13.79782553,17.02652925,20.38988458,24.94079166,28.44457913,32.20938819,35.30551132,38.92146544
Iceland,ISL,83.88,87,89.51,90.6,91,93,93.39,94.8196868,96.20979955,96.5468,98.16
IDA & IBRD total,IBT,6.144099038,7.267193899,8.902186815,11.49034288,14.14163501,16.89018923,20.62683645,23.48558362,26.65651077,29.35413571,32.73801851
IDA blend,IDB,3.562512176,4.519465473,5.588547534,6.360702095,7.110425343,8.097057985,9.544382103,11.20902312,13.16025464,15.28046583,17.59741912
IDA only,IDX,0.763281566,1.044376164,1.505880081,2.410415284,2.733550552,3.41230573,5.023491846,5.644466483,6.914035989,8.550002718,11.75419979
